alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline,pc_1,pc_2,tsne_1,tsne_2,label
14.23,1.71,2.43,15.6,127.0,2.8,3.06,0.28,2.29,5.64,1.04,3.92,1065.0,3.3167508122147784,1.443462634318008,4.6650214,-26.097822,0
13.2,1.78,2.14,11.2,100.0,2.65,2.76,0.26,1.28,4.38,1.05,3.4,1050.0,2.2094649169188476,-0.3333928870803022,18.578077,-19.173204,0
13.16,2.36,2.67,18.6,101.0,2.8,3.24,0.3,2.81,5.68,1.03,3.17,1185.0,2.5167401466103843,1.0311512962743203,19.791624,-29.270887,0
14.37,1.95,2.5,16.8,113.0,3.85,3.49,0.24,2.18,7.8,0.86,3.45,1480.0,3.7570656097732082,2.7563719137107117,13.97198,-34.104687,0
13.24,2.59,2.87,21.0,118.0,2.8,2.69,0.39,1.82,4.32,1.04,2.93,735.0,1.008908493795717,0.8698308214172055,1.8088146,-37.666233,0
14.2,1.76,2.45,15.2,112.0,3.27,3.39,0.34,1.97,6.75,1.05,2.85,1450.0,3.0502539224180807,2.12240111463419,15.081056,-36.006973,0
14.39,1.87,2.45,14.6,96.0,2.5,2.52,0.3,1.98,5.25,1.02,3.58,1290.0,2.4490896695962303,1.1748501316494726,15.791427,-23.998377,0
14.06,2.15,2.61,17.6,121.0,2.6,2.51,0.31,1.25,5.05,1.06,3.58,1295.0,2.0594368714379145,1.6089630683635066,10.100054,-37.630825,0
14.83,1.64,2.17,14.0,97.0,2.8,2.98,0.29,1.98,5.2,1.08,2.85,1045.0,2.510874297398989,0.9180709573337746,14.284298,-25.14907,0
13.86,1.35,2.27,16.0,98.0,2.98,3.15,0.22,1.85,7.22,1.01,3.55,1045.0,2.7536281876339097,0.7894376738336053,11.657901,-26.245388,0
14.1,2.16,2.3,18.0,105.0,2.95,3.32,0.22,2.38,5.75,1.25,3.17,1510.0,3.479736682731212,1.3023332371235934,18.921034,-33.914993,0
14.12,1.48,2.32,16.8,95.0,2.2,2.43,0.26,1.57,5.0,1.17,2.82,1280.0,1.7547529012945888,0.6119772287456294,18.277014,-23.70103,0
13.75,1.73,2.41,16.0,89.0,2.6,2.76,0.29,1.81,5.6,1.15,2.9,1320.0,2.1134623403150954,0.6757063391426174,18.03441,-24.71882,0
14.75,1.73,2.39,11.4,91.0,3.1,3.69,0.43,2.81,5.4,1.25,2.73,1150.0,3.458156819336723,1.1306298761729356,20.244577,-38.205627,0
14.38,1.87,2.38,12.0,102.0,3.3,3.64,0.29,2.96,7.5,1.2,3.0,1547.0,4.312783906765563,2.0959755753412606,19.30261,-37.789726,0
13.63,1.81,2.7,17.2,112.0,2.85,2.91,0.3,1.46,7.3,1.28,2.88,1310.0,2.305188200827973,1.6625517299890549,7.9557686,-37.238384,0
14.3,1.92,2.72,20.0,120.0,2.8,3.14,0.33,1.97,6.2,1.07,2.65,1280.0,2.1719552737415135,2.3273053361914195,8.958849,-40.05588,0
13.83,1.57,2.62,20.0,115.0,2.95,3.4,0.4,1.72,6.6,1.13,2.57,1130.0,1.8989711765627622,1.631368878642838,8.0420685,-39.732567,0
14.19,1.59,2.48,16.5,108.0,3.3,3.93,0.32,1.86,8.7,1.23,2.82,1680.0,3.5419850819434697,2.518343669306645,16.112667,-36.861687,0
13.64,3.1,2.56,15.2,116.0,2.7,3.03,0.17,1.66,5.1,0.96,3.36,845.0,2.084522204730313,1.0611379935838594,4.605173,-21.476433,0
14.06,1.63,2.28,16.0,126.0,3.0,3.17,0.24,2.1,5.65,1.09,3.71,780.0,3.1244025351672007,0.7868971056508944,5.6441994,-26.164707,0
12.93,3.8,2.65,18.6,102.0,2.41,2.41,0.25,1.98,4.5,1.03,3.52,770.0,1.0865700683322408,0.2417435513328402,2.961669,-18.452318,0
13.71,1.86,2.36,16.6,101.0,2.61,2.88,0.27,1.69,3.8,1.11,4.0,1035.0,2.535224079903715,-0.09184062072088205,13.746297,-21.826138,0
12.85,1.6,2.52,17.8,95.0,2.48,2.37,0.26,1.46,3.93,1.09,3.63,1015.0,1.64498834125447,-0.5162789300672357,13.471421,-19.60743,0
13.5,1.81,2.61,20.0,96.0,2.53,2.61,0.28,1.66,3.52,1.12,3.82,845.0,1.761575872269301,-0.3171489326843819,12.202418,-19.342264,0
13.05,2.05,3.22,25.0,124.0,2.63,2.68,0.47,1.92,3.58,1.13,3.2,830.0,0.9900791016088576,0.9406673381906361,0.6998821,-38.35174,0
13.39,1.77,2.62,16.1,93.0,2.85,2.94,0.34,1.45,4.8,0.92,3.22,1195.0,1.7752776281133693,0.6861751342850231,8.469448,-34.05632,0
13.3,1.72,2.14,17.0,94.0,2.4,2.19,0.27,1.35,3.95,1.02,2.77,1285.0,1.2354239643099056,-0.0898070413606412,19.018951,-21.537733,0
13.87,1.9,2.8,19.4,107.0,2.95,2.97,0.37,1.76,4.5,1.25,3.4,915.0,2.1884063344519626,0.6895696206616239,3.279585,-37.067303,0
14.02,1.68,2.21,16.0,96.0,2.65,2.33,0.26,1.98,4.7,1.04,3.59,1035.0,2.2561089812837074,0.1914619368866636,14.262254,-23.297407,0
13.73,1.5,2.7,22.5,101.0,3.0,3.25,0.29,2.38,5.7,1.19,2.71,1285.0,2.5002200257894267,1.2408338348969432,20.65014,-30.78164,0
13.58,1.66,2.36,19.1,106.0,2.86,3.19,0.22,1.95,6.9,1.09,2.88,1515.0,2.677411047444016,1.4718736461032487,18.030336,-33.67637,0
13.68,1.83,2.36,17.2,104.0,2.42,2.69,0.42,1.97,3.84,1.23,2.87,990.0,1.628579116430919,0.05270445057532251,16.077848,-28.378744,0
13.76,1.53,2.7,19.5,132.0,2.95,2.74,0.5,1.35,5.4,1.25,3.0,1235.0,1.9026908622381487,1.6330604347699829,6.30282,-39.947426,0
13.51,1.8,2.65,19.0,110.0,2.35,2.53,0.29,1.54,4.2,1.1,2.87,1095.0,1.410388526595407,0.6979343246113563,5.2965255,-33.88842,0
13.48,1.81,2.41,20.5,100.0,2.7,2.98,0.26,1.86,5.1,1.04,3.47,920.0,1.903826232194487,0.17671095109545581,11.755327,-20.375889,0
13.28,1.64,2.84,15.5,110.0,2.6,2.68,0.34,1.36,4.6,1.09,2.78,880.0,1.3848622303748397,0.6586398536611486,4.6065836,-35.045654,0
13.05,1.65,2.55,18.0,98.0,2.45,2.43,0.29,1.44,4.25,1.12,2.51,1105.0,1.1222074104413107,0.11410976029688759,5.1573596,-32.885654,0
13.07,1.5,2.1,15.5,98.0,2.4,2.64,0.28,1.37,3.7,1.18,2.69,1020.0,1.5021945006181914,-0.7694320064310102,19.032806,-20.496271,0
14.22,3.99,2.51,13.2,128.0,3.0,3.04,0.2,2.08,5.1,0.89,3.53,760.0,2.5298010923718115,1.8030019760618277,4.2278557,-22.295893,0
13.56,1.71,2.31,16.2,117.0,3.15,3.29,0.34,2.34,6.13,0.95,3.38,795.0,2.5880954258544038,0.7796163041925076,7.186398,-26.924976,0
13.41,3.84,2.12,18.8,90.0,2.45,2.68,0.27,1.48,4.28,0.91,3.0,1035.0,0.6684819937541866,0.16996094061987443,4.5882325,-16.550396,0
13.88,1.89,2.59,15.0,101.0,3.25,3.56,0.17,1.7,5.43,0.88,3.56,1095.0,3.070806990412009,1.1559189566098822,12.062369,-31.722656,0
13.24,3.98,2.29,17.5,103.0,2.64,2.63,0.32,1.66,4.36,0.82,3.0,680.0,0.4622091375160075,0.33074213219227483,3.9954505,-17.252823,0
13.05,1.77,2.1,17.0,107.0,3.0,3.0,0.28,2.03,5.04,0.88,3.35,885.0,2.101351930538016,-0.07100892095406693,9.077317,-26.373245,0
14.21,4.04,2.44,18.9,111.0,2.85,2.65,0.3,1.25,5.24,0.87,3.33,1080.0,1.1361661775610186,1.7771073929776373,5.536309,-18.60008,0
14.38,3.59,2.28,16.0,102.0,3.25,3.17,0.27,2.19,4.9,1.04,3.44,1065.0,2.726600963640804,1.1913346919571823,10.2767,-23.683338,0
13.9,1.68,2.12,16.0,101.0,3.1,3.39,0.21,2.14,6.1,0.91,3.33,985.0,2.8213392741922494,0.6462585991417028,10.7084055,-26.292793,0
14.1,2.02,2.4,18.8,103.0,2.75,2.92,0.32,2.38,6.2,1.07,2.75,1060.0,2.0098508509123594,1.2470294606787597,17.820963,-29.840387,0
13.94,1.73,2.27,17.4,108.0,2.88,3.54,0.32,2.08,8.9,1.12,3.1,1260.0,2.7074913042663944,1.7519674072063367,16.817707,-34.775566,0
13.05,1.73,2.04,12.4,92.0,2.72,3.27,0.17,2.91,7.2,1.12,2.91,1150.0,3.2149174747738236,0.16699199499678996,11.734808,-28.228605,0
13.83,1.65,2.6,17.2,94.0,2.45,2.99,0.22,2.29,5.6,1.24,3.37,1265.0,2.8589598267172938,0.7452788039895876,18.778692,-26.190252,0
13.82,1.75,2.42,14.0,111.0,3.88,3.74,0.32,1.87,7.05,1.01,3.26,1190.0,3.5056043559232255,1.6127338560350104,13.670567,-35.51367,0
13.77,1.9,2.68,17.1,115.0,3.0,2.79,0.39,1.68,6.3,1.13,2.93,1375.0,2.224791380532174,1.8751679995630244,8.543558,-38.109516,0
13.74,1.67,2.25,16.4,118.0,2.6,2.9,0.21,1.62,5.85,0.92,3.2,1060.0,2.146987823563867,1.0167515377576593,7.229065,-24.372972,0
13.56,1.73,2.46,20.5,116.0,2.96,2.78,0.2,2.45,6.25,0.98,3.03,1120.0,2.4693294837977886,1.3290083106496227,18.161139,-30.77567,0
14.22,1.7,2.3,16.3,118.0,3.2,3.0,0.26,2.03,6.38,0.94,3.31,970.0,2.7415179142774533,1.436548783512514,6.9335747,-25.649307,0
13.29,1.97,2.68,16.8,102.0,3.0,3.23,0.31,1.66,6.0,1.07,2.84,1270.0,2.1737409209653085,1.2121998406977939,8.351578,-35.379517,0
13.72,1.43,2.5,16.7,108.0,3.4,3.67,0.19,2.04,6.8,0.89,2.87,1285.0,3.139380151828997,1.7315791159925125,13.3024235,-32.97531,0
12.37,0.94,1.36,10.6,88.0,1.98,0.57,0.28,0.42,1.95,1.05,1.82,520.0,-0.9285819689218574,-3.073486163188931,1.3298056,6.610973,1
12.33,1.1,2.28,16.0,101.0,2.05,1.09,0.63,0.41,3.27,1.25,1.67,680.0,-1.5424801378968818,-1.38144350809423,-14.412503,20.766806,1
12.64,1.36,2.02,16.8,100.0,2.02,1.41,0.53,0.62,5.75,0.98,1.59,450.0,-1.836249763466941,-0.8299841230557191,-14.553102,22.16777,1
13.67,1.25,1.92,18.0,94.0,2.1,1.79,0.32,0.73,3.8,1.23,2.46,630.0,0.030606834086678362,-1.262786144211405,2.7946637,4.4215517,1
12.37,1.13,2.16,19.0,87.0,3.5,3.1,0.19,1.87,4.45,1.22,2.87,420.0,2.050261607576316,-1.9250326046501014,0.04923748,-6.5087137,1
12.17,1.45,2.53,19.0,104.0,1.89,1.75,0.45,1.03,2.95,1.45,2.23,355.0,-0.6096808271776233,-1.9080588050851879,-10.085682,10.691665,1
12.37,1.21,2.56,18.1,98.0,2.42,2.65,0.37,2.08,4.6,1.19,2.3,678.0,0.9002278387071435,-0.7639114736096088,3.1758454,-31.379984,1
13.11,1.01,1.7,15.0,78.0,2.98,3.18,0.26,2.28,5.3,1.12,3.18,502.0,2.248507190798394,-1.8845924845501347,1.8329933,-4.4519806,1
12.37,1.17,1.92,19.6,78.0,2.11,2.0,0.27,1.04,4.68,1.12,3.48,510.0,0.18338402668475415,-2.427146114703572,-1.2331953,1.7817814,1
13.34,0.94,2.36,17.0,110.0,2.53,1.3,0.55,0.42,3.17,1.02,1.93,750.0,-0.8128050273520723,-0.22051398690227056,-15.221871,20.473152,1
12.21,1.19,1.75,16.8,151.0,1.85,1.28,0.14,2.5,2.85,1.28,3.07,718.0,1.975620498798553,-1.4032832253096141,-6.51243,-24.31113,1
12.29,1.61,2.21,20.4,103.0,1.1,1.02,0.37,1.46,3.05,0.906,1.82,870.0,-1.5722162196263008,-0.8849831369082217,-14.351295,13.381634,1
13.86,1.51,2.67,25.0,86.0,2.95,2.86,0.21,1.87,3.38,1.36,3.16,410.0,1.6576818088332894,-0.9567121974591498,11.4470415,-17.412418,1
13.49,1.66,2.24,24.0,87.0,1.88,1.84,0.27,1.03,3.74,0.98,2.78,472.0,-0.7253723880353568,-1.0636454007060954,-12.786231,-3.0973341,1
12.99,1.67,2.6,30.0,139.0,3.3,2.89,0.21,1.96,3.35,1.31,3.5,985.0,2.5622271731703625,0.2601985506545986,1.0891575,-40.33403,1
11.96,1.09,2.3,21.0,101.0,3.38,2.14,0.13,1.65,3.21,0.99,3.13,886.0,1.832567570049548,-1.287878197860525,-2.2481136,-7.3053303,1
11.66,1.88,1.92,16.0,97.0,1.61,1.57,0.34,1.15,3.8,1.23,2.14,428.0,-0.8679929031954139,-2.444101185580865,-1.1105467,6.6619177,1
13.03,0.9,1.71,16.0,86.0,1.95,2.03,0.24,1.46,4.6,1.19,2.48,392.0,0.37001440429478105,-2.1539069751569904,1.4290049,3.9871466,1
11.84,2.89,2.23,18.0,112.0,1.72,1.32,0.43,0.95,2.65,0.96,2.52,500.0,-1.4573770449061398,-1.3833517690762591,-2.24337,8.657109,1
12.33,0.99,1.95,14.8,136.0,1.9,1.85,0.35,2.76,3.4,1.06,2.31,750.0,1.2629308497284977,-0.7708495299701165,-6.7370253,-25.074121,1
12.7,3.87,2.4,23.0,101.0,2.83,2.55,0.43,1.95,2.57,1.19,3.13,463.0,0.37615037193424145,-1.0270434033558218,7.383337,-4.3117437,1
12.0,0.92,2.0,19.0,86.0,2.42,2.26,0.3,1.43,2.5,1.38,3.12,278.0,0.7620639041095977,-3.375053809963536,0.80047977,-0.63806045,1
12.72,1.81,2.2,18.8,86.0,2.2,2.53,0.26,1.77,3.9,1.16,3.14,714.0,1.0345779671651865,-1.4507097382440923,-1.9306893,-1.2019227,1
12.08,1.13,2.51,24.0,78.0,2.0,1.58,0.4,1.4,2.2,1.31,2.72,630.0,-0.4948767556803281,-2.381243526767369,-10.425763,7.065303,1
13.05,3.86,2.32,22.5,85.0,1.65,1.59,0.61,1.62,4.8,0.84,2.01,515.0,-2.5389770842951203,-0.08744335730498203,-14.659383,30.706852,1
11.84,0.89,2.58,18.0,94.0,2.2,2.21,0.22,2.35,3.05,0.79,3.08,520.0,0.8353201453942973,-1.4736705514008663,-8.868859,-8.2394495,1
12.67,0.98,2.24,18.0,99.0,2.2,1.94,0.3,1.46,2.62,1.23,3.16,450.0,0.7879046149897087,-2.0266265224624775,-0.6526947,-0.8388558,1
12.16,1.61,2.31,22.8,90.0,1.78,1.69,0.43,1.56,2.45,1.33,2.26,495.0,-0.8068321559655391,-2.2338303908439117,-10.60793,8.7565975,1
11.65,1.67,2.62,26.0,88.0,1.92,1.61,0.4,1.34,2.6,1.36,3.21,562.0,-0.5580426248756827,-2.3729854288494536,-9.318118,7.134601,1
